product,baseline_brand_mention_rate,current_brand_mention_rate,delta_brand_mention_rate,baseline_mention_share_of_voice,current_mention_share_of_voice,delta_mention_share_of_voice,baseline_citation_share_of_voice,current_citation_share_of_voice,delta_citation_share_of_voice,baseline_average_mention_position,current_average_mention_position,mention_position_improvement_current_minus_baseline,baseline_average_citation_position,current_average_citation_position,citation_position_improvement_current_minus_baseline,baseline_first_mention_score,current_first_mention_score,delta_first_mention_score,baseline_brand_context_sentiment_score,current_brand_context_sentiment_score,delta_brand_context_sentiment_score,source_domain_share_status,provider_style_visibility_delta
BEIS,0.75,0.85,0.1,0.1642857142857143,0.1501330532212885,-0.01415266106442577,0.17067460317460317,0.1887408424908425,0.018066239316239317,3.2,3.0,0.20000000000000018,3.7,3.45,0.25,0.38541666666666663,0.44380952380952376,0.058392857142857135,0.1839285714285714,0.4031318681318682,0.21920329670329672,not_available_controlled_product_label_citations_only,0.034478394562953395
Delsey,1.0,0.85,-0.15,0.2751984126984127,0.2286782661782662,-0.046520146520146514,0.24950396825396828,0.20132936507936505,-0.04817460317460316,2.55,3.2,-0.6500000000000004,3.55,4.15,-0.6000000000000005,0.4371428571428571,0.3283333333333333,-0.1088095238095238,0.4118259518259517,0.2336507936507936,-0.1781751581751582,not_available_controlled_product_label_citations_only,-0.09117368742368744
INUSA,0.65,0.65,0.0,0.13728174603174603,0.12202075702075701,-0.015260989010989013,0.1328373015873016,0.11898809523809524,-0.01384920634920635,4.8,4.4,0.39999999999999947,5.5,5.0,0.5,0.17144841269841268,0.20547619047619045,0.03402777777777778,0.08194444444444446,0.18904761904761905,0.1071031746031746,not_available_controlled_product_label_citations_only,0.01972245115995114
Monos,0.75,0.8,0.05,0.13950396825396824,0.17063671622495152,0.031132747970983265,0.14575396825396827,0.1644022644022644,0.018648296148296144,4.2,2.8,1.4000000000000004,5.1,3.1,1.9999999999999996,0.21464285714285714,0.4958333333333333,0.28119047619047616,0.24645299145299146,0.4029365079365079,0.15648351648351647,not_available_controlled_product_label_citations_only,0.12444526102981986
Travelpro,0.9,0.9,0.0,0.2837301587301587,0.2854166666666667,0.00168650793650795,0.30123015873015874,0.3223268398268398,0.021096681096681093,1.95,1.75,0.19999999999999996,2.2,1.8,0.40000000000000013,0.6808333333333334,0.7766666666666666,0.09583333333333334,0.5243842102058215,0.4269590643274853,-0.09742514587833608,not_available_controlled_product_label_citations_only,0.023695797258297263
