comparison,product,matched_n_question_contexts,question_ids,current_source_files,baseline_source_files,prompt_sets,baseline_citation_rate,current_citation_rate,delta_citation_rate,baseline_mean_ref_count,current_mean_ref_count,delta_mean_ref_count,baseline_first_citation_score,current_first_citation_score,delta_first_citation_score,baseline_mean_recommendation_rank_proxy,current_mean_recommendation_rank_proxy,rank_improvement_current_minus_baseline,baseline_rank_score_proxy,current_rank_score_proxy,delta_rank_score_proxy,baseline_top1_cited_share,current_top1_cited_share,delta_top1_cited_share,baseline_feature_coverage,current_feature_coverage,delta_feature_coverage,baseline_pais,current_pais,delta_pais,current_page_advantage_score,direction_label
01_2023_2024_original_vs_2026_current,Monos,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",monos_2023vs2026_1.txt;monos_2023vs2026_11.txt;monos_2023vs2026_16.txt;monos_2023vs2026_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.75,0.85,0.1,1.05,1.25,0.2,0.19755952380952382,0.5046428571428571,0.3070833333333334,4.2,2.7,1.5,0.36000000000000004,0.66,0.30000000000000004,0.05,0.35,0.3,0.1763157894736842,0.19999999999999996,0.023684210526315787,0.17161339063430298,0.26288360546390604,0.09127021482960307,0.21291210920225856,current_2026_stronger
01_2023_2024_original_vs_2026_current,BEIS,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",beis_2023vs2026_1.txt;beis_2023vs2026_11.txt;beis_2023vs2026_16.txt;beis_2023vs2026_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.7,0.85,0.15,1.15,1.25,0.1,0.3625,0.44333333333333325,0.08083333333333334,3.3,3.0,0.2999999999999998,0.54,0.5999999999999999,0.06,0.2,0.3,0.1,0.18947368421052632,0.1763157894736842,-0.01315789473684211,0.21542135335375692,0.24255851794989391,0.027137164596137027,0.07756459365259614,current_2026_stronger
01_2023_2024_original_vs_2026_current,Travelpro,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",travel_2023vs2026_1.txt;travel_2023vs2026_11.txt.txt;travel_2023vs2026_16.txt;travel_2023vs2026_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.9,0.9,0.0,1.9,2.0,0.1,0.6833333333333333,0.7833333333333333,0.1,1.95,1.75,0.19999999999999996,0.8100000000000002,0.85,0.039999999999999994,0.55,0.7,0.15,0.22105263157894733,0.29210526315789476,0.07105263157894737,0.3582948125665619,0.40504860393466746,0.046753791368105486,0.06428064229470529,current_2026_stronger
01_2023_2024_original_vs_2026_current,INUSA,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",inusa_2023vs2026_1.txt;inusa_2023vs2026_11.txt;inusa_2023vs2026_16.txt;inusea_2023vs2026_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.65,0.65,0.0,1.05,0.8,-0.25,0.16309523809523813,0.19589285714285715,0.03279761904761905,4.7,4.4,0.2999999999999998,0.26,0.32,0.06000000000000001,0.05,0.05,0.0,0.13947368421052633,0.13157894736842105,-0.007894736842105265,0.15576020370381585,0.13982266235595942,-0.01593754134785643,0.019176295990527642,similar_or_small_change
01_2023_2024_original_vs_2026_current,Delsey,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",delsey_2023vs2026_1.txt;delsey_2023vs2026_11.txt;delsey_2023vs2026_6.txt;desley_2023vs2026_16.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.95,0.85,-0.1,1.5,1.25,-0.25,0.38388888888888884,0.2971428571428571,-0.08674603174603175,2.7,3.2,-0.5,0.6599999999999999,0.5599999999999999,-0.1,0.15,0.1,-0.05,0.23157894736842102,0.19736842105263158,-0.03421052631578947,0.2686139157214301,0.21123271036844388,-0.05738120535298621,-0.07900837951608393,baseline_2023_2024_stronger
