metric_source,product,n_question_contexts,question_ids,n_geo_source_files,n_current_source_files,prompt_sets,citation_rate,mean_ref_count,total_ref_count,mean_first_citation_score,mean_recommendation_rank_proxy,mean_rank_score_proxy,top1_cited_share,mean_feature_count,mean_feature_coverage,mean_tfidf_product_answer_similarity,mean_bigram_overlap_product_answer,mean_pais_product_answer_influence_score
baseline_all_current_2026_matched_questions,BEIS,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.8,1.25,25.0,0.2938095238095238,3.65,0.47000000000000003,0.1,4.55,0.23947368421052628,0.037453408613956116,0.045951030102603416,0.22103997784219173
baseline_all_current_2026_matched_questions,Delsey,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.95,1.25,25.0,0.2684722222222222,3.3,0.54,0.05,3.85,0.2026315789473684,0.04560962319042731,0.022380604592498084,0.21086644222754497
baseline_all_current_2026_matched_questions,INUSA,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.7,1.0,20.0,0.18857142857142856,4.5,0.3,0.05,2.35,0.1236842105263158,0.027595334251781456,0.018874491009979795,0.15413470165473547
baseline_all_current_2026_matched_questions,Monos,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.8,1.2,24.0,0.5571428571428572,2.55,0.6900000000000001,0.45,4.1,0.21578947368421053,0.05248308253016941,0.09064419813376524,0.27867971239151224
baseline_all_current_2026_matched_questions,Travelpro,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.9,1.65,33.0,0.5097222222222222,2.5,0.7,0.35,5.1,0.26842105263157895,0.08567539816017473,0.1355435709981972,0.31809527025252476
