product,baseline_brand_mention_rate,geo_brand_mention_rate,delta_brand_mention_rate,baseline_mention_share_of_voice,geo_mention_share_of_voice,delta_mention_share_of_voice,baseline_citation_share_of_voice,geo_citation_share_of_voice,delta_citation_share_of_voice,baseline_average_mention_position,geo_average_mention_position,mention_position_improvement_geo_minus_baseline,baseline_average_citation_position,geo_average_citation_position,citation_position_improvement_geo_minus_baseline,baseline_first_mention_score,geo_first_mention_score,delta_first_mention_score,baseline_brand_context_sentiment_score,geo_brand_context_sentiment_score,delta_brand_context_sentiment_score,source_domain_share_status,provider_style_visibility_delta
Away,0.9,0.95,0.05,0.20404613360495713,0.19823593073593074,-0.0058102028690264,0.21688852813852813,0.23351190476190475,0.01662337662337663,2.3,1.95,0.34999999999999987,2.7,2.35,0.3500000000000001,0.5838095238095238,0.6238095238095239,0.04,0.40440476190476193,0.47399711399711403,0.06959235209235211,not_available_controlled_product_label_citations_only,0.03370329343858756
BR,0.85,0.9,0.05,0.22971023257787965,0.25692550505050504,0.027215272472625417,0.22016233766233767,0.24742063492063499,0.02725829725829726,3.05,2.65,0.3999999999999999,3.65,2.9,0.75,0.3800595238095238,0.4848611111111111,0.10480158730158731,0.27487762237762237,0.15718253968253967,-0.1176950826950827,not_available_controlled_product_label_citations_only,0.05811839243273067
Century,0.75,0.75,0.0,0.14831306765130295,0.13878208779524567,-0.009530979856057258,0.17016233766233765,0.17527222777222778,0.0051098901098901115,4.25,4.25,0.0,4.9,4.85,0.05000000000000071,0.20577075702075703,0.20423160173160176,-0.0015391552891552876,0.06351648351648352,-0.0988095238095238,-0.1623260073260073,not_available_controlled_product_label_citations_only,0.0003947275634582346
July,0.9,0.9,0.0,0.2675522026992615,0.28008227883227876,0.01253007613301731,0.2434577922077922,0.2164224664224664,-0.027035325785325783,2.7,2.4,0.30000000000000027,3.1,2.65,0.4500000000000002,0.4291666666666667,0.5283333333333333,0.09916666666666668,0.24979437229437235,0.366984126984127,0.1171897546897547,not_available_controlled_product_label_citations_only,0.018873687586922896
Rimowa,0.75,0.7,-0.05,0.15037836346659877,0.13015002970885323,-0.02022833375774552,0.14932900432900434,0.13816849816849816,-0.011160506160506156,4.25,4.3,-0.04999999999999982,4.9,4.85,0.05000000000000071,0.21803571428571433,0.21438672438672443,-0.0036489898989899004,0.10678571428571426,0.01878787878787879,-0.0879978354978355,not_available_controlled_product_label_citations_only,-0.017847209979562892
