AUROC,AUPRC,Accuracy,F1,threshold,label_model,score_model,score_col,n_rows,n_queries
0.5520777553003708,0.3407441029604527,0.610204081632653,0.35034013605442177,0.6112479249867192,claude,hybrid_all_available,score_hybrid_all_available,3920,392
0.5258056848832827,0.32223960034512866,0.5913265306122449,0.31887755102040816,0.8332338750362396,claude,embed_e5_base_cosine,score_embed_e5_base_cosine,3920,392
0.5321145951091808,0.3213222959481684,0.5938775510204082,0.3231292517006803,0.45156950652599304,claude,rerank_bge_base,score_rerank_bge_base,3920,392
0.5269136991531307,0.316569845768551,0.5969387755102041,0.3282312925170068,0.39840866327285696,claude,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3920,392
0.5206247768786815,0.3123706496534361,0.5877551020408164,0.3129251700680272,2.055114436149597,claude,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3920,392
0.5183879856607365,0.3085514535448204,0.5918367346938775,0.3197278911564626,0.15231495345601287,claude,tfidf_compact_cosine,score_tfidf_compact_cosine,3920,392
0.5084299572598718,0.30521411574765467,0.5846938775510204,0.3078231292517007,0.6490464985370636,claude,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3920,392
0.5074541113821622,0.30472400100608554,0.5877551020408164,0.3129251700680272,0.6831857025623321,claude,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3920,392
0.564582553946307,0.35071776604786153,0.6147498710675606,0.3554788610871441,0.6113619008508278,deepseek,hybrid_all_available,score_hybrid_all_available,3878,389
0.5326071673067184,0.3260167618472198,0.5982465188241362,0.32786885245901637,0.8331660568714142,deepseek,embed_e5_base_cosine,score_embed_e5_base_cosine,3878,389
0.533744277072406,0.3197203964652394,0.5982465188241362,0.32786885245901637,0.45277945697307576,deepseek,rerank_bge_base,score_rerank_bge_base,3878,389
0.5248051850551108,0.31460977549744595,0.5972150593089222,0.3261432269197584,0.39049684703350007,deepseek,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3878,389
0.5148684776439989,0.3101083508641542,0.589994842702424,0.31406384814495253,0.683366459608078,deepseek,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3878,389
0.5204336191297841,0.3099844952559578,0.5894791129448169,0.31320103537532357,2.063368606567382,deepseek,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3878,389
0.5144371107836625,0.30799251807281663,0.5863847343991748,0.3080241587575496,0.6489820957183838,deepseek,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3878,389
0.516733280398639,0.3051285991655829,0.5905105724600309,0.31492666091458155,0.152341137585089,deepseek,tfidf_compact_cosine,score_tfidf_compact_cosine,3878,389
0.553390762281589,0.3425930852581894,0.6096938775510204,0.3494897959183674,0.6112479249867192,gemini,hybrid_all_available,score_hybrid_all_available,3920,392
0.5277246831677277,0.3232297262065922,0.5903061224489796,0.3171768707482993,0.8332338750362396,gemini,embed_e5_base_cosine,score_embed_e5_base_cosine,3920,392
0.5329980935522898,0.3209567100228919,0.5938775510204082,0.3231292517006803,0.45156950652599304,gemini,rerank_bge_base,score_rerank_bge_base,3920,392
0.5219948037524047,0.31405685240587045,0.5964285714285714,0.3273809523809524,0.39840866327285696,gemini,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3920,392
0.5216153425655976,0.3136584916420849,0.5923469387755103,0.320578231292517,0.15231495345601287,gemini,tfidf_compact_cosine,score_tfidf_compact_cosine,3920,392
0.5185165903095932,0.3108497064135358,0.5928571428571429,0.32142857142857145,2.055114436149597,gemini,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3920,392
0.5072638384799985,0.3019591563571472,0.5826530612244898,0.304421768707483,0.6831857025623321,gemini,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3920,392
0.49879886356875114,0.299393419625096,0.5739795918367347,0.28996598639455784,0.6490464985370636,gemini,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3920,392
0.551623765395371,0.3423504209257606,0.6122448979591837,0.35374149659863946,0.6112479249867192,gpt41,hybrid_all_available,score_hybrid_all_available,3920,392
0.5318876001566807,0.32009103514441434,0.5959183673469388,0.32653061224489793,0.8332338750362396,gpt41,embed_e5_base_cosine,score_embed_e5_base_cosine,3920,392
0.5297681025763075,0.31996052749795856,0.5943877551020408,0.3239795918367347,0.45156950652599304,gpt41,rerank_bge_base,score_rerank_bge_base,3920,392
0.5239997967116876,0.31606120295131473,0.5989795918367347,0.33163265306122447,0.39840866327285696,gpt41,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3920,392
0.5191726289641221,0.31389909281040584,0.5943877551020408,0.3239795918367347,2.055114436149597,gpt41,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3920,392
0.5128640286289443,0.30721327251201896,0.5918367346938775,0.3197278911564626,0.15231495345601287,gpt41,tfidf_compact_cosine,score_tfidf_compact_cosine,3920,392
0.5072596549552766,0.3051164419997071,0.5887755102040816,0.31462585034013607,0.6831857025623321,gpt41,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3920,392
0.5006194715495527,0.29992054496222587,0.576530612244898,0.2942176870748299,0.6490464985370636,gpt41,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3920,392
0.5273720275282124,0.3231983574218949,0.5943877551020408,0.3239795918367347,0.6112479249867192,gpt5,hybrid_all_available,score_hybrid_all_available,3920,392
0.5261296756311855,0.3198224817269866,0.5959183673469388,0.32653061224489793,0.8332338750362396,gpt5,embed_e5_base_cosine,score_embed_e5_base_cosine,3920,392
0.5181747808452828,0.3125991730251406,0.5841836734693877,0.30697278911564624,0.45156950652599304,gpt5,rerank_bge_base,score_rerank_bge_base,3920,392
0.5192056323258166,0.31034214933156623,0.5954081632653061,0.32568027210884354,0.39840866327285696,gpt5,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3920,392
0.5159070005553241,0.30986866598748497,0.5892857142857143,0.31547619047619047,2.055114436149597,gpt5,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3920,392
0.4993261426290633,0.30179496759391633,0.5780612244897959,0.2967687074829932,0.6490464985370636,gpt5,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3920,392
0.5025861930048987,0.29972370116960967,0.5862244897959183,0.31037414965986393,0.15231495345601287,gpt5,tfidf_compact_cosine,score_tfidf_compact_cosine,3920,392
0.49352529823882907,0.29587484144982956,0.5801020408163265,0.30017006802721086,0.6831857025623321,gpt5,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3920,392
0.5759903340218074,0.3536229214769553,0.6217735752619473,0.3702127659574468,0.6112669209640705,llama,hybrid_all_available,score_hybrid_all_available,3913,392
0.5392085405590809,0.3338545197222485,0.5972399693329926,0.3293617021276596,0.8332546472549438,llama,embed_e5_base_cosine,score_embed_e5_base_cosine,3913,392
0.5341938017443002,0.32154067940044573,0.6018400204446716,0.33702127659574466,0.45259535312652577,llama,rerank_bge_base,score_rerank_bge_base,3913,392
0.5260121129197021,0.32052870635773417,0.5977510861231792,0.3302127659574468,0.39866775870323085,llama,rerank_msmarco_minilm_l6,score_rerank_msmarco_minilm_l6,3913,392
0.5217270137868811,0.3173468688972906,0.5936621518016867,0.32340425531914896,0.6833326935768127,llama,embed_minilm_l6_cosine,score_embed_minilm_l6_cosine,3913,392
0.5215100015161345,0.3169942722020286,0.5916176846409404,0.32,2.0503284454345674,llama,rerank_msmarco_minilm_l12,score_rerank_msmarco_minilm_l12,3913,392
0.5202984920676346,0.31681768721159326,0.5865065167390748,0.31148936170212765,0.6490078568458557,llama,embed_multiqa_minilm_cosine,score_embed_multiqa_minilm_cosine,3913,392
0.5139540288164955,0.3110838279281434,0.5870176335292614,0.3123404255319149,0.15241109411980677,llama,tfidf_compact_cosine,score_tfidf_compact_cosine,3913,392
