product,baseline_brand_mention_rate,current_brand_mention_rate,delta_brand_mention_rate,baseline_mention_share_of_voice,current_mention_share_of_voice,delta_mention_share_of_voice,baseline_citation_share_of_voice,current_citation_share_of_voice,delta_citation_share_of_voice,baseline_average_mention_position,current_average_mention_position,mention_position_improvement_current_minus_baseline,baseline_average_citation_position,current_average_citation_position,citation_position_improvement_current_minus_baseline,baseline_first_mention_score,current_first_mention_score,delta_first_mention_score,baseline_brand_context_sentiment_score,current_brand_context_sentiment_score,delta_brand_context_sentiment_score,source_domain_share_status,provider_style_visibility_delta
Away,0.9,0.9,0.0,0.20404613360495713,0.21450940725940723,0.010463273654450126,0.21688852813852813,0.21725940725940726,0.0003708791208791223,2.3,2.05,0.25,2.7,2.5,0.20000000000000018,0.5838095238095238,0.6208333333333333,0.03702380952380953,0.40440476190476193,0.445905695611578,0.04150093370681608,not_available_controlled_product_label_citations_only,0.016208538193832316
BR,0.85,0.9,0.05,0.22971023257787965,0.2384163059163059,0.008706073338426278,0.22016233766233767,0.24059523809523814,0.020432900432900435,3.05,2.75,0.2999999999999998,3.65,3.0,0.6499999999999999,0.3800595238095238,0.4896049783549783,0.10954545454545454,0.27487762237762237,0.27285714285714285,-0.0020204795204795288,not_available_controlled_product_label_citations_only,0.04578474344283167
Century,0.75,0.75,0.0,0.14831306765130295,0.17220254208157432,0.023889474430271403,0.17016233766233765,0.1899015567765568,0.019739219114219112,4.25,4.25,0.0,4.9,4.75,0.15000000000000036,0.20577075702075703,0.21744047619047618,0.011669719169719173,0.06351648351648352,-0.0646103896103896,-0.12812687312687313,not_available_controlled_product_label_citations_only,0.01540717338612264
July,0.9,0.9,0.0,0.2675522026992615,0.2523765123765124,-0.015175690322749142,0.2434577922077922,0.2279761904761905,-0.015481601731601725,2.7,2.35,0.3500000000000001,3.1,2.6,0.5,0.4291666666666667,0.5025,0.07333333333333335,0.24979437229437235,0.5045238095238094,0.25472943722943725,not_available_controlled_product_label_citations_only,0.017835676986412287
Rimowa,0.75,0.65,-0.1,0.15037836346659877,0.12263588263588263,-0.02774248083071612,0.14932900432900434,0.1185155122655123,-0.030813492063492064,4.25,4.85,-0.5999999999999996,4.9,5.6,-0.6999999999999993,0.21803571428571433,0.1354502442002442,-0.08258547008547008,0.10678571428571426,0.21047619047619048,0.10369047619047618,not_available_controlled_product_label_citations_only,-0.07363899322355202
