comparison,product,matched_n_question_contexts,question_ids,current_source_files,baseline_source_files,prompt_sets,baseline_citation_rate,current_citation_rate,delta_citation_rate,baseline_mean_ref_count,current_mean_ref_count,delta_mean_ref_count,baseline_first_citation_score,current_first_citation_score,delta_first_citation_score,baseline_mean_recommendation_rank_proxy,current_mean_recommendation_rank_proxy,rank_improvement_current_minus_baseline,baseline_rank_score_proxy,current_rank_score_proxy,delta_rank_score_proxy,baseline_top1_cited_share,current_top1_cited_share,delta_top1_cited_share,baseline_feature_coverage,current_feature_coverage,delta_feature_coverage,baseline_pais,current_pais,delta_pais,current_page_advantage_score,direction_label,baseline_brand_mention_rate,current_brand_mention_rate,delta_brand_mention_rate,baseline_mention_share_of_voice,current_mention_share_of_voice,delta_mention_share_of_voice,baseline_citation_share_of_voice,current_citation_share_of_voice,delta_citation_share_of_voice,baseline_average_mention_position,current_average_mention_position,mention_position_improvement_current_minus_baseline,baseline_average_citation_position,current_average_citation_position,citation_position_improvement_current_minus_baseline,baseline_first_mention_score,current_first_mention_score,delta_first_mention_score,baseline_brand_context_sentiment_score,current_brand_context_sentiment_score,delta_brand_context_sentiment_score,source_domain_share_status,provider_style_visibility_delta,historical_visibility_delta
01_2023_2024_original_vs_2026_current,BR,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",br_1.txt;br_11.txt;br_16.txt;br_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.85,0.9,0.05,1.45,1.35,-0.1,0.3867857142857143,0.49630952380952387,0.10952380952380954,3.05,2.75,0.2999999999999998,0.5900000000000001,0.65,0.06,0.2,0.3,0.1,0.2710526315789473,0.24473684210526314,-0.026315789473684216,0.2813136386804227,0.2998372758913262,0.018523637210903592,0.06112554667848384,current_2026_stronger,0.85,0.9,0.05,0.22971023257787965,0.2384163059163059,0.008706073338426278,0.22016233766233767,0.24059523809523814,0.020432900432900435,3.05,2.75,0.2999999999999998,3.65,3.0,0.6499999999999999,0.3800595238095238,0.4896049783549783,0.10954545454545454,0.27487762237762237,0.27285714285714285,-0.0020204795204795288,not_available_controlled_product_label_citations_only,0.04578474344283167,0.06112554667848384
01_2023_2024_original_vs_2026_current,July,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",july_1.txt;july_11.txt;july_16.txt;july_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.9,0.9,0.0,1.55,1.2,-0.35,0.4458333333333334,0.5308333333333333,0.085,2.65,2.3,0.3500000000000001,0.67,0.7400000000000001,0.07000000000000002,0.2,0.3,0.1,0.22894736842105265,0.21315789473684207,-0.015789473684210527,0.2865211195974899,0.26720932049764473,-0.01931179909984512,0.04598987272159444,similar_or_small_change,0.9,0.9,0.0,0.2675522026992615,0.2523765123765124,-0.015175690322749142,0.2434577922077922,0.2279761904761905,-0.015481601731601725,2.7,2.35,0.3500000000000001,3.1,2.6,0.5,0.4291666666666667,0.5025,0.07333333333333335,0.24979437229437235,0.5045238095238094,0.25472943722943725,not_available_controlled_product_label_citations_only,0.017835676986412287,0.04598987272159444
01_2023_2024_original_vs_2026_current,Century,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",century_1.txt;century_11.txt;century_16.txt;century_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.75,0.8,0.05,1.15,1.35,0.2,0.22787878787878793,0.25720238095238096,0.029323593073593068,4.2,4.05,0.15000000000000036,0.36000000000000004,0.38999999999999996,0.02999999999999999,0.05,0.1,0.05,0.2184210526315789,0.1763157894736842,-0.042105263157894736,0.20004091771055946,0.21509646053378492,0.015055542823225496,0.02815974658125169,similar_or_small_change,0.75,0.75,0.0,0.14831306765130295,0.17220254208157432,0.023889474430271403,0.17016233766233765,0.1899015567765568,0.019739219114219112,4.25,4.25,0.0,4.9,4.75,0.15000000000000036,0.20577075702075703,0.21744047619047618,0.011669719169719173,0.06351648351648352,-0.0646103896103896,-0.12812687312687313,not_available_controlled_product_label_citations_only,0.01540717338612264,0.02815974658125169
01_2023_2024_original_vs_2026_current,Away,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",away_1.txt;away_11.txt;away_16.txt;away_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.9,0.85,-0.05,1.35,1.25,-0.1,0.5833333333333333,0.6224999999999999,0.03916666666666667,2.4,2.35,0.04999999999999982,0.72,0.7300000000000001,0.009999999999999998,0.45,0.5,0.05,0.2789473684210526,0.2605263157894737,-0.018421052631578942,0.3032747167612605,0.30334293401681267,6.821725555220398e-05,0.005998049795730658,similar_or_small_change,0.9,0.9,0.0,0.20404613360495713,0.21450940725940723,0.010463273654450126,0.21688852813852813,0.21725940725940726,0.0003708791208791223,2.3,2.05,0.25,2.7,2.5,0.20000000000000018,0.5838095238095238,0.6208333333333333,0.03702380952380953,0.40440476190476193,0.445905695611578,0.04150093370681608,not_available_controlled_product_label_citations_only,0.016208538193832316,0.005998049795730658
01_2023_2024_original_vs_2026_current,Rimowa,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rimowa_1.txt;rimowa_11.txt;rimowa_16.txt;rimowa_6.txt,baseline_1.txt;baseline_11.txt;baseline_16.txt;baseline_6.txt,1-5;6-10;11-15;16-20,0.75,0.65,-0.1,1.05,0.85,-0.2,0.2329761904761905,0.1649206349206349,-0.06805555555555556,4.25,4.85,-0.5999999999999996,0.35,0.23000000000000004,-0.12,0.1,0.05,-0.05,0.17894736842105263,0.14473684210526314,-0.034210526315789476,0.17910535061094401,0.14216136003348293,-0.03694399057746109,-0.07822656280043619,baseline_2023_2024_stronger,0.75,0.65,-0.1,0.15037836346659877,0.12263588263588263,-0.02774248083071612,0.14932900432900434,0.1185155122655123,-0.030813492063492064,4.25,4.85,-0.5999999999999996,4.9,5.6,-0.6999999999999993,0.21803571428571433,0.1354502442002442,-0.08258547008547008,0.10678571428571426,0.21047619047619048,0.10369047619047618,not_available_controlled_product_label_citations_only,-0.07363899322355202,-0.07822656280043619
