metric_source,product,n_question_contexts,question_ids,n_geo_source_files,n_baseline_source_files,prompt_sets,citation_rate,mean_ref_count,total_ref_count,mean_first_citation_score,mean_recommendation_rank_proxy,mean_rank_score_proxy,top1_cited_share,mean_feature_count,mean_feature_coverage,mean_tfidf_product_answer_similarity,mean_bigram_overlap_product_answer,mean_pais_product_answer_influence_score
one_product_geo_focal_matched_questions,BEIS,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.75,0.9,18,0.37916666666666665,3.2,0.56,0.15,3.4,0.17894736842105263,0.02489010950135607,0.02537462851114925,0.19540702319448747
one_product_geo_focal_matched_questions,Delsey,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.7,1.3,26,0.32416666666666666,3.45,0.51,0.15,3.55,0.1868421052631579,0.04751768198055469,0.036442383926240794,0.217171648371012
one_product_geo_focal_matched_questions,INUSA,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.65,0.95,19,0.18186507936507937,4.6,0.28,0.05,3.0,0.15789473684210525,0.028335996251523922,0.026284063051504915,0.1567284386161341
one_product_geo_focal_matched_questions,Monos,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.85,1.15,23,0.27150793650793653,3.6,0.48,0.1,3.5,0.18421052631578946,0.039024381367305176,0.03460658651470258,0.19997289014874495
one_product_geo_focal_matched_questions,Travelpro,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",4,4,1-5;6-10;11-15;16-20,0.95,1.8,36,0.7404761904761905,1.75,0.85,0.6,5.65,0.29736842105263156,0.0957604935151542,0.19080861185533715,0.40117564612042916
