product,current_brand_mention_rate,geo_brand_mention_rate,delta_brand_mention_rate,current_mention_share_of_voice,geo_mention_share_of_voice,delta_mention_share_of_voice,current_citation_share_of_voice,geo_citation_share_of_voice,delta_citation_share_of_voice,current_average_mention_position,geo_average_mention_position,mention_position_improvement_geo_minus_current,current_average_citation_position,geo_average_citation_position,citation_position_improvement_geo_minus_current,current_first_mention_score,geo_first_mention_score,delta_first_mention_score,current_brand_context_sentiment_score,geo_brand_context_sentiment_score,delta_brand_context_sentiment_score,source_domain_share_status,provider_style_visibility_delta
BEIS,0.8,0.8,0.0,0.17476551226551224,0.16119922969187675,-0.013566282573635513,0.1917099567099567,0.16532106782106784,-0.02638888888888889,3.65,3.45,0.19999999999999973,4.2,3.7,0.5,0.3079761904761905,0.3171428571428571,0.009166666666666667,0.4620238095238095,0.28940476190476183,-0.17261904761904762,not_available_controlled_product_label_citations_only,0.01101120713436889
Delsey,0.95,0.95,0.0,0.25004329004329007,0.26308892496392494,0.013045634920634921,0.2100432900432901,0.20913059163059167,-0.0009126984126984206,3.3,3.15,0.1499999999999999,4.65,4.25,0.40000000000000036,0.3208333333333333,0.3221428571428571,0.001309523809523816,0.40279942279942277,0.2737878787878788,-0.12901154401154402,not_available_controlled_product_label_citations_only,0.019533234126984135
INUSA,0.7,0.65,-0.05,0.1519498556998557,0.12803724053724053,-0.023912615162615156,0.1372276334776335,0.13757201132201133,0.00034437784437784253,4.5,5.0,-0.5,5.45,6.3,-0.8499999999999996,0.2183928571428571,0.13853174603174603,-0.07986111111111112,0.40809523809523807,0.0832051282051282,-0.3248901098901099,not_available_controlled_product_label_citations_only,-0.05639205932955932
Monos,0.8,0.75,-0.05,0.17772186147186148,0.13728105228105228,-0.04044080919080919,0.18883297258297257,0.14876373626373626,-0.04006923631923631,2.55,4.15,-1.6000000000000005,2.95,4.4,-1.4500000000000002,0.56,0.2685119047619048,-0.2914880952380952,0.46115079365079364,0.20290849673202613,-0.25824229691876754,not_available_controlled_product_label_citations_only,-0.1216275113775114
Travelpro,0.9,0.95,0.05,0.24551948051948055,0.2626460454749929,0.017126564955512326,0.2721861471861472,0.26729256854256855,-0.004893578643578653,2.5,2.4,0.10000000000000009,3.15,2.7,0.44999999999999973,0.5363095238095238,0.5370833333333334,0.0007738095238095308,0.48636724386724384,0.272266139657444,-0.21410110420979986,not_available_controlled_product_label_citations_only,0.029558246577983414
